author,title,description,url,source,category,language,country,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,MA_50,Open_Normalized,High_Normalized,Low_Normalized,Close_Normalized,MA_200,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Price_Momentum,Volatility,BB_Band_Width,Distance_to_BB_Upper,Distance_to_BB_Lower,RSI_Rolling_Avg,MACD_Rolling_Avg,Close_Lag_1,Close_Lag_5,Volume_Lag_1,Volume_Lag_5,Close_Zscore,Volume_Zscore,Price_Direction,Pct_Change_from_MA_50,sentiment_score,sentiment,MA_500,Momentum,EMA_50,EMA_200,ATR,Stochastic,OBV,Williams_R
Unknown,ANNOUNCEMENT OF THE OPERATING DATA FROM JANUARY TO SEPTEMBER OF 2021,"(marketscreener.com) Hong Kong Exchanges and Clearing Limited and The Stock Exchange of Hong Kong Limited take no responsibility for the contents of this announcement, make no representation as to its accuracy or completeness, and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or...https://www.marketscreener.com/quote/stock/MAANSHAN-IRON-STEEL-COM-6165812/news/ANNOUNCEMENT-OF-THE-OPERATING-DATA-FROM-JANUARY-TO-SEPTEMBER-OF-2021-36787548/?utm_medium=RSS&utm_content=20211026",https://www.marketscreener.com/quote/stock/MAANSHAN-IRON-STEEL-COM-6165812/news/ANNOUNCEMENT-OF-THE-OPERATING-DATA-FROM-JANUARY-TO-SEPTEMBER-OF-2021-36787548/?utm_medium=RSS&utm_content=20211026,4-traders,general,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1211.88413,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,-0.8519,-1,1211.88413,27.343872,1212.004308,1210.681669,30.343628,82.77261811,3579236,-17.22738189
Unknown,OVERSEAS REGULATORY ANNOUNCEMENT - ANNOUNCEMENT ON RESOLUTIONS OF THE BOARD OF DIRECTORS,"(marketscreener.com) Hong Kong Exchanges and Clearing Limited and The Stock Exchange of Hong Kong Limited take no responsibility for the contents of this announcement, make no representation as to its accuracy or completeness, and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or...https://www.marketscreener.com/quote/stock/MAANSHAN-IRON-STEEL-COM-6165812/news/OVERSEAS-REGULATORY-ANNOUNCEMENT-ANNOUNCEMENT-ON-RESOLUTIONS-OF-THE-BOARD-OF-DIRECTORS-36787207/?utm_medium=RSS&utm_content=20211026",https://www.marketscreener.com/quote/stock/MAANSHAN-IRON-STEEL-COM-6165812/news/OVERSEAS-REGULATORY-ANNOUNCEMENT-ANNOUNCEMENT-ON-RESOLUTIONS-OF-THE-BOARD-OF-DIRECTORS-36787207/?utm_medium=RSS&utm_content=20211026,4-traders,general,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1212.531729,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,-0.8519,-1,1212.531729,27.343872,1212.634496,1210.854728,30.343628,82.77261811,3579236,-17.22738189
Unknown,OVERSEAS REGULATORY ANNOUNCEMENT - ANNOUNCEMENT ON RESOLUTIONS OF THE FORTY-THIRD MEETING OF THE NINTH SESSION OF SUPERVISORY COMMITTEE,"(marketscreener.com) Hong Kong Exchanges and Clearing Limited and The Stock Exchange of Hong Kong Limited take no responsibility for the contents of this announcement, make no representation as to its accuracy or completeness, and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or...https://www.marketscreener.com/quote/stock/MAANSHAN-IRON-STEEL-COM-6165812/news/OVERSEAS-REGULATORY-ANNOUNCEMENT-ANNOUNCEMENT-ON-RESOLUTIONS-OF-THE-FORTY-THIRD-MEETING-OF-THE-NIN-36787208/?utm_medium=RSS&utm_content=20211026",https://www.marketscreener.com/quote/stock/MAANSHAN-IRON-STEEL-COM-6165812/news/OVERSEAS-REGULATORY-ANNOUNCEMENT-ANNOUNCEMENT-ON-RESOLUTIONS-OF-THE-FORTY-THIRD-MEETING-OF-THE-NIN-36787208/?utm_medium=RSS&utm_content=20211026,4-traders,general,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1213.129512,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,-0.8519,-1,1213.129512,27.343872,1213.23997,1211.026065,30.343628,82.77261811,3579236,-17.22738189
Anuj Tiwari,From HCL To Reliance: Indian Companies Among Forbes' World’s Best Employers In 2021,Here are Forbes World's best employers in 2021.,https://www.indiatimes.com/trending/social-relevance/indian-companies-among-forbes-worlds-best-employers-552603.html,Indiatimes,general,en,in,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1213.683015,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,0.6369,1,1213.683015,27.343872,1213.821701,1211.195697,30.343628,82.77261811,3579236,-17.22738189
Reliance Securities,Nykaa IPO - Strong Growth Potential: Reliance Securities,Nykaa IPO - Strong Growth Potential: Reliance Securities,https://www.bloombergquint.com/research-reports/nykaa-ipo-strong-growth-potential-reliance-securities,Bloomberg | Latest And Live Business,business,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1214.196982,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,0.7964,1,1214.196982,27.343872,1214.380618,1211.363642,30.343628,82.77261811,3579236,-17.22738189
OdAdmin,IOB observes Vigilance Awareness Week 2021,"&#160; Chennai : Indian Overseas Bank observes Vigilance Awareness Week from today (26.10.2021) to 01.11.2021. In line with the theme of Vigilance Awareness Week &#8211; Independent India @ 75: Self- Reliance with Integrity, Smt. S Srimathy, Executive Director, Indian Overseas Bank, Shri Bhuwan Chandra, General Manager, Chief Financial Officer as well as the Senior Management [&#8230;]",https://orissadiary.com/iob-observes-vigilance-awareness-week-2021/,orissadiary,general,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1214.675504,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,0.5719,1,1214.675504,27.343872,1214.917617,1211.529915,30.343628,82.77261811,3579236,-17.22738189
Unknown,"&lsquo;Record Date' for the purpose of Second and Final Call on 42,26,26,894 partly paid-up equity shares of face value of Rs.10 each issued and allotted on rights basis","(marketscreener.com) October 27, 2021 BSE Limited National Stock Exchange of India Limited ...https://www.marketscreener.com/quote/stock/RELIANCE-INDUSTRIES-LTD-9058833/news/lsquo-Record-Date-for-the-purpose-of-Second-and-Final-Call-on-42-26-26-894-partly-paid-up-equity-s-36803230/?utm_medium=RSS&utm_content=20211027",https://www.marketscreener.com/quote/stock/RELIANCE-INDUSTRIES-LTD-9058833/news/lsquo-Record-Date-for-the-purpose-of-Second-and-Final-Call-on-42-26-26-894-partly-paid-up-equity-s-36803230/?utm_medium=RSS&utm_content=20211027,4-traders,general,en,us,10/27/2021,1223.897583,1235.342773,1209.106445,1212.544678,1196.033325,9896298,-0.012645344,-0.012725976,1214.604476,1.334339594,1.346817575,1.318213735,1.321962226,991.9636725,56.1775863,25.98468358,33.4221126,-7.437429012,1212.255078,1272.042121,1152.468035,-2.70330046,0.016321859,119.5740864,-59.4974434,60.076643,68.25449785,37.01610065,1228.074097,1246.234131,9750178,12710570,1.078089469,-0.624814844,0,7.140978668,-0.4215,-1,1214.604476,-15.529419,1214.824561,1211.540012,26.236328,52.18182837,-6317062,-47.81817163
Unknown,Future Retail asks Delhi court to quash Singapore arbitration panel&#039;s block on asset sale,"A Singapore arbitrator last year put the Future-Reliance deal on hold, and the panel last week declined Future's request to revoke that decision.",https://www.businesstoday.in/latest/corporate/story/future-retail-asks-delhi-court-to-quash-singapore-arbitration-panels-block-on-asset-sale-310641-2021-10-27?utm_source=rssfeed,Business Today | Latest Stock Market And Economy News India,business,en,in,10/27/2021,1223.897583,1235.342773,1209.106445,1212.544678,1196.033325,9896298,-0.012645344,-0.012725976,1214.538031,1.334339594,1.346817575,1.318213735,1.321962226,991.9636725,56.1775863,25.98468358,33.4221126,-7.437429012,1212.255078,1272.042121,1152.468035,-2.70330046,0.016321859,119.5740864,-59.4974434,60.076643,68.25449785,37.01610065,1228.074097,1246.234131,9750178,12710570,1.078089469,-0.624814844,0,7.140978668,0,0,1214.538031,-15.529419,1214.735154,1211.550009,26.236328,52.18182837,-6317062,-47.81817163
Jordan Pearson,"Citing Climate, New York Nixes Two Natural Gas Power Plant Plans","""Constructing and operating a new fossil fuel-fired power plant perpetuates a reliance on fossil fuels.""",https://www.vice.com/en_us/article/qjb44b/citing-climate-new-york-nixes-two-natural-gas-power-plant-plans,Vice News,general,en,us,10/27/2021,1223.897583,1235.342773,1209.106445,1212.544678,1196.033325,9896298,-0.012645344,-0.012725976,1214.475739,1.334339594,1.346817575,1.318213735,1.321962226,991.9636725,56.1775863,25.98468358,33.4221126,-7.437429012,1212.255078,1272.042121,1152.468035,-2.70330046,0.016321859,119.5740864,-59.4974434,60.076643,68.25449785,37.01610065,1228.074097,1246.234131,9750178,12710570,1.078089469,-0.624814844,0,7.140978668,0,0,1214.475739,-15.529419,1214.649253,1211.559906,26.236328,52.18182837,-6317062,-47.81817163
Unknown,Iconix Lifestyle India acquires IP rights of British brand Lee Cooper for India,"The acquisition will allow Iconix Lifestyle India, a JV between Reliance Brands and Iconix Brand Group Inc, to expand Lee Cooper presence in India through enabling the brand’s distribution across all retail channels.",https://www.businesstoday.in/latest/corporate/story/iconix-lifestyle-india-acquires-ip-rights-of-british-brand-lee-cooper-for-india-310632-2021-10-27?utm_source=rssfeed,businesstoday,general,en,in,10/27/2021,1223.897583,1235.342773,1209.106445,1212.544678,1196.033325,9896298,-0.012645344,-0.012725976,1214.417222,1.334339594,1.346817575,1.318213735,1.321962226,991.9636725,56.1775863,25.98468358,33.4221126,-7.437429012,1212.255078,1272.042121,1152.468035,-2.70330046,0.016321859,119.5740864,-59.4974434,60.076643,68.25449785,37.01610065,1228.074097,1246.234131,9750178,12710570,1.078089469,-0.624814844,0,7.140978668,0.4939,1,1214.417222,-15.529419,1214.56672,1211.569705,26.236328,32.92606935,-6317062,-67.07393065
Unknown,ANNOUNCEMENT OF ANNUAL RESULTS FOR THE YEAR ENDED 31 JULY 2021,"(marketscreener.com) Hong Kong Exchanges and Clearing Limited and The Stock Exchange of Hong Kong Limited take no responsibility for the contents of this announcement, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or...https://www.marketscreener.com/quote/stock/BEXCELLENT-GROUP-HOLDINGS-103501491/news/ANNOUNCEMENT-OF-ANNUAL-RESULTS-FOR-THE-YEAR-ENDED-31-JULY-2021-36801479/?utm_medium=RSS&utm_content=20211027",https://www.marketscreener.com/quote/stock/BEXCELLENT-GROUP-HOLDINGS-103501491/news/ANNOUNCEMENT-OF-ANNUAL-RESULTS-FOR-THE-YEAR-ENDED-31-JULY-2021-36801479/?utm_medium=RSS&utm_content=20211027,4-traders,general,en,us,10/27/2021,1223.897583,1235.342773,1209.106445,1212.544678,1196.033325,9896298,-0.012645344,-0.012725976,1214.362147,1.334339594,1.346817575,1.318213735,1.321962226,991.9636725,56.1775863,25.98468358,33.4221126,-7.437429012,1212.255078,1272.042121,1152.468035,-2.70330046,0.016321859,119.5740864,-59.4974434,60.076643,68.25449785,37.01610065,1228.074097,1246.234131,9750178,12710570,1.078089469,-0.624814844,0,7.140978668,-0.8519,-1,1214.362147,-15.529419,1214.487425,1211.579406,26.236328,32.92606935,-6317062,-67.07393065
Unknown,ZetrOZ sam® Soft Tissue Healing Devices Help Veterans With Post-Op Recovery and Long-Term Pain Management,"(marketscreener.com) Wearable ultrasound therapy for home use assists in healing and reduces reliance on narcotic pain medications, which only mask painTRUMBULL, Conn., Oct. 27, 2021 -- ZetrOZ's sustained acoustic medicine therapy for home use is benefiting veterans in both postoperative recovery and longer-term pain management.&nbsp;Veterans themselves are...https://www.marketscreener.com/news/latest/ZetrOZ-sam-Soft-Tissue-Healing-Devices-Help-Veterans-With-Post-Op-Recovery-and-Long-Term-Pain-Manag--36799222/?utm_medium=RSS&utm_content=20211027",https://www.marketscreener.com/news/latest/ZetrOZ-sam-Soft-Tissue-Healing-Devices-Help-Veterans-With-Post-Op-Recovery-and-Long-Term-Pain-Manag--36799222/?utm_medium=RSS&utm_content=20211027,4-traders,general,en,us,10/27/2021,1223.897583,1235.342773,1209.106445,1212.544678,1196.033325,9896298,-0.012645344,-0.012725976,1214.310219,1.334339594,1.346817575,1.318213735,1.321962226,991.9636725,56.1775863,25.98468358,33.4221126,-7.437429012,1212.255078,1272.042121,1152.468035,-2.70330046,0.016321859,119.5740864,-59.4974434,60.076643,68.25449785,37.01610065,1228.074097,1246.234131,9750178,12710570,1.078089469,-0.624814844,0,7.140978668,-0.765,-1,1214.310219,-15.529419,1214.411238,1211.589011,26.236328,32.92606935,-6317062,-67.07393065
ABMN Staff,Reliance Steel &#038; Aluminum Co. (NYSE:RS) Shares Sold by Kennedy Capital Management Inc.,Reliance Steel &#038; Aluminum Co. (NYSE:RS) Shares Sold by Kennedy Capital Management Inc.,https://www.americanbankingnews.com/2021/10/27/reliance-steel-aluminum-co-nysers-shares-sold-by-kennedy-capital-management-inc.html,americanbankingnews,general,en,us,10/27/2021,1223.897583,1235.342773,1209.106445,1212.544678,1196.033325,9896298,-0.012645344,-0.012725976,1214.261176,1.334339594,1.346817575,1.318213735,1.321962226,991.9636725,56.1775863,25.98468358,33.4221126,-7.437429012,1212.255078,1272.042121,1152.468035,-2.70330046,0.016321859,119.5740864,-59.4974434,60.076643,68.25449785,37.01610065,1228.074097,1246.234131,9750178,12710570,1.078089469,-0.624814844,0,7.140978668,0.296,1,1214.261176,-15.529419,1214.33804,1211.59852,26.236328,32.92606935,-6317062,-67.07393065
Norman Solomon,Climate Emergency Includes the Threat of ‘Nuclear Winter’,"When world leaders gather in Scotland next week for the COP26 climate change conference, activists will be pushing for drastic action to end the world’s catastrophic reliance on fossil fuels. Consciousness about the climate emergency has skyrocketed in recent years, while government responses remain meager. But one aspect of extreme climate jeopardy—“nuclear winter”—has hardly reached the stage of dim awareness Wishful[Read More...]",https://countercurrents.org/2021/10/climate-emergency-includes-the-threat-of-nuclear-winter/,countercurrents,general,en,us,10/27/2021,1223.897583,1235.342773,1209.106445,1212.544678,1196.033325,9896298,-0.012645344,-0.012725976,1214.214785,1.334339594,1.346817575,1.318213735,1.321962226,991.9636725,56.1775863,25.98468358,33.4221126,-7.437429012,1212.255078,1272.042121,1152.468035,-2.70330046,0.016321859,119.5740864,-59.4974434,60.076643,68.25449785,37.01610065,1228.074097,1246.234131,9750178,12710570,1.078089469,-0.624814844,0,7.140978668,-0.4097,-1,1214.214785,-15.529419,1214.267712,1211.607934,26.236328,32.92606935,-6317062,-67.07393065
